CTUID,PROV,Employed 
10000,10,101000
10002,10,2145
10003.01,10,2100
10003.02,10,2370
10004,10,3495
10005.01,10,1190
10005.02,10,1575
10006,10,1505
10008,10,800
10009,10,330
10010,10,870
10011,10,1200
10012,10,1270
10013,10,825
10014,10,1535
10015.01,10,1780
10015.02,10,1895
10015.03,10,2340
10015.04,10,2925
10016.01,10,2530
10016.02,10,2595
10017,10,1875
10100.01,10,2985
10100.04,10,2065
10170.01,10,1470
10170.02,10,2200
10171,10,2180
10172.02,10,3675
10172.03,10,1130
10172.04,10,2160
10172.05,10,3140
10172.06,10,1210
10200.01,10,2515
10200.02,10,4675
10200.03,10,1935
10201,10,1340
10202.01,10,1000
10202.02,10,1715
10202.04,10,4775
10202.05,10,5495
10300,10,4175
10301.01,10,3355
10301.02,10,2990
10302,10,2090
2050000,12,208360
2050001,12,1820
2050002,12,2665
2050003,12,1370
2050004.02,12,2415
2050005,12,900
2050006,12,1675
2050007,12,785
2050009,12,1315
2050010,12,2530
2050011,12,3520
2050012,12,1320
2050013,12,1560
2050014,12,2035
2050015,12,2440
2050016,12,1885
2050017,12,1310
2050018,12,1840
2050019,12,2995
2050020,12,1325
2050021,12,1660
2050022,12,3170
2050023,12,1775
2050024,12,3530
2050025.01,12,2095
2050025.02,12,2705
2050025.03,12,3920
2050026.02,12,2035
2050026.03,12,1865
2050026.04,12,2095
2050026.05,12,1995
2050027,12,3545
2050100,12,1565
2050101,12,1745
2050102,12,2490
2050103,12,2175
2050104.01,12,1130
2050104.02,12,3800
2050105.01,12,1505
2050105.02,12,2550
2050106.01,12,1775
2050106.02,12,3120
2050107,12,1570
2050108,12,2120
2050109,12,1665
2050110,12,660
2050111,12,1975
2050112,12,1085
2050113,12,590
2050114,12,3655
2050120,12,1055
2050121.02,12,1835
2050121.03,12,1045
2050121.05,12,2385
2050121.06,12,3200
2050121.07,12,2695
2050121.08,12,2005
2050122.01,12,1760
2050122.03,12,1965
2050122.04,12,2425
2050122.05,12,1940
2050123.01,12,1165
2050123.02,12,2280
2050123.04,12,3685
2050123.05,12,1945
2050123.06,12,1620
2050130.01,12,4700
2050130.03,12,2565
2050130.04,12,2105
2050131.01,12,2950
2050131.02,12,2130
2050131.03,12,3265
2050131.04,12,1825
2050131.05,12,2175
2050132.03,12,3245
2050132.04,12,3090
2050132.06,12,2385
2050132.07,12,2555
2050132.08,12,3050
2050140,12,3440
2050141,12,3700
2050142.01,12,3115
2050142.02,12,2285
2050143.01,12,2535
2050143.02,12,3010
2050150.01,12,3420
2050150.02,12,3525
2050151,12,2970
2050152,12,2430
2050153,12,2780
2050154,12,1215
3050000,13,73140
3050001,13,490
3050002,13,2220
3050003.01,13,1240
3050003.03,13,4620
3050003.04,13,2990
3050004,13,3825
3050005,13,1220
3050006,13,2205
3050007,13,1695
3050008,13,2130
3050009,13,2545
3050010.01,13,965
3050010.02,13,4005
3050011,13,2160
3050012,13,4050
3050013,13,3120
3050014.02,13,3225
3050014.03,13,2395
3050014.04,13,4360
3050015,13,2925
3050016.01,13,3445
3050016.02,13,2630
3050100,13,3505
3050101,13,4450
3050102.01,13,2615
3050102.02,13,3175
3050200,13,375
3100000,13,61535
3100001.01,13,1420
3100001.02,13,1700
3100002.01,13,1855
3100002.02,13,1030
3100003,13,910
3100004,13,1170
3100011,13,250
3100012,13,470
3100013,13,600
3100014,13,1165
3100015,13,660
3100016,13,765
3100017,13,575
3100018,13,55
3100020,13,700
3100021,13,585
3100022,13,965
3100024,13,855
3100025.01,13,2100
3100025.02,13,1745
3100026,13,1855
3100027.01,13,1560
3100027.02,13,1425
3100028,13,780
3100029,13,3395
3100100.01,13,2785
3100100.02,13,1590
3100101,13,325
3100110.01,13,2060
3100110.02,13,3895
3100111,13,1390
3100120.02,13,3355
3100120.03,13,1635
3100120.04,13,4135
3100130.01,13,3555
3200000,13,49575
3200001,13,245
3200002,13,1970
3200003,13,1920
3200004,13,2915
3200006,13,3350
3200007,13,1990
3200008,13,3160
3200009,13,1815
3200010,13,920
3200011,13,2140
3200012,13,2065
3200013,13,2905
3200014,13,1840
3200015,13,1015
3200017,13,290
3200018,13,2505
3200019,13,940
3200020,13,3970
3200021,13,2250
3200022,13,1365
3200023,13,4175
3200024,13,3250
3200025,13,105
3200026,13,1540
4080000,24,74890
4080001,24,1980
4080002.01,24,1550
4080002.02,24,2185
4080003.01,24,2080
4080003.02,24,1605
4080004,24,1530
4080005,24,1390
4080006,24,1360
4080007,24,1485
4080008,24,2565
4080100,24,1790
4080101,24,2070
4080102,24,1440
4080103,24,3670
4080104,24,3590
4080105,24,1345
4080106,24,1490
4080107.02,24,1485
4080107.03,24,3680
4080107.04,24,475
4080108,24,840
4080109,24,875
4080110,24,2440
4080111.02,24,1660
4080120.01,24,1505
4080120.02,24,3845
4080130,24,2005
4080131,24,2080
4080132,24,1760
4080133,24,1920
4080140,24,2120
4080150,24,3165
4080160,24,3030
4080161,24,1330
4080162,24,3105
4080163,24,1445
4080164,24,925
4080166,24,190
4080167,24,1075
4080168,24,380
4210000,24,408430
4210001.01,24,1590
4210001.02,24,1610
4210002,24,720
4210003,24,3530
4210004,24,325
4210005,24,1785
4210006,24,2705
4210007,24,1010
4210009,24,1020
4210010,24,1310
4210011,24,1005
4210012,24,1205
4210013,24,1000
4210014,24,1315
4210015,24,1495
4210016,24,1275
4210017,24,35
4210018,24,785
4210019,24,1815
4210020,24,1790
4210021,24,950
4210022,24,1075
4210023,24,330
4210024,24,630
4210025,24,475
4210026,24,2485
4210027,24,1050
4210028,24,835
4210029,24,1075
4210030,24,1630
4210031,24,1105
4210032,24,505
4210033.01,24,1675
4210033.02,24,1865
4210034,24,2220
4210035,24,1060
4210036,24,2710
4210037,24,1795
4210038.01,24,1200
4210038.02,24,1305
4210039.01,24,3745
4210039.02,24,2565
4210040.01,24,2135
4210040.03,24,4915
4210040.04,24,330
4210041.02,24,4625
4210041.03,24,630
4210041.04,24,3575
4210041.05,24,4175
4210041.06,24,1930
4210041.07,24,1200
4210041.08,24,1425
4210041.09,24,1315
4210100,24,980
4210101,24,2335
4210102,24,1060
4210103,24,1340
4210110,24,2045
4210111,24,2335
4210112.01,24,2505
4210112.02,24,2360
4210113.01,24,2875
4210113.02,24,3500
4210114,24,2975
4210115,24,1400
4210116,24,4455
4210117.01,24,1465
4210117.02,24,2130
4210118,24,3540
4210119.02,24,2460
4210119.03,24,4625
4210119.04,24,1675
4210120.01,24,1535
4210120.02,24,3670
4210120.03,24,2025
4210140.01,24,3980
4210140.02,24,2215
4210140.03,24,2685
4210160.01,24,2790
4210160.02,24,2420
4210160.03,24,2050
4210170.03,24,2770
4210170.04,24,3390
4210170.05,24,3445
4210170.06,24,2345
4210170.07,24,2845
4210190,24,1450
4210200,24,4550
4210210.01,24,3165
4210210.02,24,2530
4210220.01,24,4470
4210220.02,24,3415
4210230.01,24,4350
4210230.02,24,3960
4210240.01,24,3735
4210240.02,24,3580
4210260.01,24,1495
4210260.02,24,1580
4210260.03,24,2190
4210270.01,24,2410
4210270.03,24,2080
4210270.04,24,1365
4210271.01,24,1865
4210271.02,24,1825
4210272,24,620
4210273.01,24,2440
4210273.02,24,1510
4210273.03,24,1790
4210273.04,24,2190
4210280.01,24,1965
4210280.02,24,2340
4210280.03,24,2865
4210290.01,24,2145
4210290.03,24,1310
4210290.04,24,4105
4210300,24,790
4210310,24,870
4210311.01,24,3070
4210311.02,24,1225
4210320.01,24,4040
4210320.02,24,2380
4210320.03,24,2405
4210320.04,24,1620
4210320.05,24,2135
4210320.07,24,2470
4210320.08,24,4245
4210330,24,1210
4210340.01,24,820
4210340.02,24,2445
4210340.03,24,3190
4210360.01,24,4115
4210360.02,24,4120
4210370,24,4250
4210500,24,3545
4210510,24,2030
4210520,24,3460
4210530,24,2060
4210540,24,3210
4210600.03,24,1235
4210600.04,24,4505
4210600.05,24,1590
4210600.06,24,2980
4210605,24,4535
4210610,24,2910
4210700,24,1340
4210800.01,24,2970
4210800.02,24,2920
4210801,24,1660
4210802,24,1450
4210810,24,1600
4210811,24,3830
4210812,24,1910
4210820.01,24,2235
4210820.03,24,3255
4210820.04,24,2430
4210825,24,4750
4210830.01,24,2475
4210830.02,24,3975
4210835.03,24,3840
4210835.04,24,2650
4210835.05,24,2635
4210835.06,24,1810
4210835.07,24,2970
4210840.01,24,3040
4210840.02,24,2630
4210845.02,24,4260
4210845.03,24,2470
4210845.04,24,2695
4210846.02,24,3425
4210846.03,24,645
4210846.04,24,4210
4210850.02,24,1265
4210850.03,24,2060
4210850.04,24,2450
4210850.05,24,1895
4210900,24,3005
4210901,24,2005
4330000,24,96935
4330001,24,2270
4330002,24,675
4330003,24,1365
4330004,24,1770
4330005,24,870
4330006,24,1135
4330007,24,1280
4330008,24,1305
4330009.01,24,1915
4330009.02,24,2090
4330010,24,1395
4330011,24,940
4330012,24,1035
4330013,24,655
4330014,24,1210
4330015.01,24,1110
4330015.02,24,2290
4330016,24,1825
4330017,24,1050
4330018,24,2520
4330019.01,24,2550
4330019.02,24,3455
4330100,24,2135
4330110.01,24,2010
4330110.03,24,2975
4330110.04,24,3255
4330110.06,24,3375
4330110.07,24,3315
4330111.01,24,2975
4330111.02,24,510
4330111.05,24,2760
4330111.06,24,1715
4330111.07,24,2875
4330111.08,24,2635
4330112,24,3085
4330113.01,24,3005
4330113.02,24,3040
4330200,24,720
4330201,24,1370
4330202,24,1270
4330300.01,24,3115
4330300.02,24,1820
4330400.01,24,2600
4330400.02,24,2570
4330400.03,24,2720
4330400.04,24,3635
4330401,24,775
4330402,24,1985
4420000,24,70675
4420001,24,725
4420002,24,1190
4420003,24,1020
4420004,24,2200
4420005,24,730
4420006,24,1000
4420007,24,1165
4420008,24,1010
4420009,24,315
4420010,24,1775
4420011,24,1105
4420012.01,24,900
4420012.02,24,1445
4420013.01,24,3245
4420013.02,24,2040
4420013.03,24,1665
4420100.01,24,3205
4420100.02,24,2290
4420101.02,24,3145
4420101.03,24,1885
4420101.04,24,2705
4420102,24,4090
4420200,24,1960
4420201,24,1145
4420202,24,660
4420203,24,1115
4420204,24,2025
4420205.01,24,3500
4420205.02,24,2105
4420205.03,24,2215
4420210,24,3515
4420211,24,3680
4420212,24,1325
4420213,24,765
4420300,24,3840
4420302,24,2345
4420303,24,300
4420304,24,1340
4470000,24,42090
4470001.01,24,2580
4470001.02,24,1340
4470002,24,1760
4470003,24,2100
4470004,24,1650
4470005,24,2385
4470006,24,1655
4470007,24,1685
4470008,24,3260
4470009,24,4865
4470010,24,3950
4470011,24,2320
4470013,24,610
4470014,24,3075
4470015,24,2845
4470100,24,500
4470101,24,2420
4470102,24,1235
4470103,24,655
4470104,24,545
4500000,24,38835
4500001,24,2875
4500002,24,3445
4500004,24,3100
4500005,24,1365
4500006,24,1495
4500007,24,1420
4500008,24,935
4500009,24,2510
4500010,24,2235
4500011,24,1100
4500012,24,2085
4500013,24,1620
4500014,24,1625
4500015,24,2710
4500016,24,2485
4500100,24,4290
4500200,24,1920
4500201,24,1600
4590000,24,47970
4590001,24,3910
4590002,24,235
4590004,24,1240
4590005,24,1845
4590007,24,695
4590008,24,1110
4590009,24,2895
4590011,24,1045
4590012,24,675
4590013,24,1995
4590014,24,1515
4590015,24,2195
4590100,24,1095
4590101,24,560
4590102,24,645
4590103,24,945
4590200,24,3295
4590201,24,2490
4590202,24,4100
4590203,24,1780
4590204,24,405
4590205,24,2165
4590206,24,985
4590207,24,435
4590300,24,1470
4590301,24,1305
4590302,24,1465
4590304,24,560
4590400,24,1550
4590401,24,1900
4590402,24,1455
4620000,24,1897615
4620001,24,1360
4620002,24,1345
4620003,24,3215
4620004,24,1565
4620005,24,1690
4620006,24,2075
4620007,24,2910
4620008,24,1705
4620009,24,1845
4620010,24,635
4620011,24,2965
4620012.01,24,1115
4620012.02,24,1680
4620013,24,2305
4620014.01,24,3720
4620015,24,2125
4620016,24,1250
4620017,24,1110
4620018,24,1055
4620019,24,1060
4620021,24,1270
4620022,24,745
4620023,24,605
4620024,24,1150
4620025,24,1405
4620026,24,1340
4620027,24,820
4620028,24,1145
4620029,24,1985
4620030,24,1740
4620031,24,1435
4620032,24,1010
4620033,24,935
4620034,24,1145
4620035,24,1190
4620036,24,1230
4620037,24,1315
4620038,24,830
4620039,24,940
4620041,24,960
4620042,24,545
4620043,24,525
4620044,24,1305
4620045,24,785
4620046,24,1245
4620047,24,425
4620048,24,1285
4620049,24,635
4620050,24,665
4620051,24,870
4620052,24,930
4620053,24,515
4620054,24,695
4620055.01,24,2945
4620055.02,24,565
4620056,24,635
4620057,24,440
4620058,24,430
4620059,24,875
4620060,24,265
4620061,24,355
4620062,24,1010
4620063,24,160
4620064,24,760
4620065.01,24,3015
4620065.02,24,1155
4620066.01,24,1255
4620066.02,24,800
4620067,24,750
4620068,24,425
4620069,24,2400
4620070,24,1985
4620072,24,1375
4620073,24,540
4620074,24,1835
4620075,24,1265
4620076,24,1395
4620077,24,860
4620078,24,1910
4620079,24,2305
4620080,24,425
4620081,24,1820
4620082,24,900
4620083,24,1835
4620084,24,965
4620085,24,320
4620086,24,1980
4620087,24,1790
4620088,24,1680
4620089,24,2465
4620090,24,1965
4620092,24,2490
4620093,24,1425
4620094.01,24,3015
4620095,24,1330
4620096,24,1340
4620097.01,24,3025
4620097.02,24,1650
4620098,24,2610
4620099,24,2530
4620100.01,24,1975
4620100.02,24,1605
4620101.01,24,1580
4620101.02,24,1580
4620102,24,2270
4620103,24,1285
4620104,24,1480
4620105,24,1885
4620106,24,1045
4620107,24,750
4620108,24,1995
4620109,24,1120
4620110,24,1965
4620111,24,3030
4620112.01,24,1870
4620112.02,24,1875
4620113,24,2625
4620114,24,1015
4620115.01,24,1065
4620115.02,24,2720
4620116,24,3060
4620117,24,1855
4620118,24,1825
4620119,24,2550
4620120.01,24,1625
4620120.02,24,580
4620121,24,860
4620122,24,2595
4620123,24,3020
4620124,24,2500
4620125,24,2540
4620126,24,920
4620127.01,24,2475
4620128,24,1865
4620129.01,24,2030
4620129.02,24,1470
4620130,24,1255
4620131,24,1430
4620132,24,2485
4620133,24,1355
4620134,24,630
4620135,24,1050
4620136,24,1625
4620137,24,525
4620138,24,1255
4620139,24,1895
4620140,24,880
4620141,24,1025
4620142,24,900
4620143,24,1210
4620144,24,1985
4620146,24,1460
4620147,24,1655
4620148,24,595
4620149,24,1940
4620150,24,1465
4620151,24,1295
4620152,24,970
4620153,24,455
4620154,24,410
4620155,24,1230
4620156,24,1235
4620157,24,1355
4620158,24,1265
4620159,24,1255
4620160,24,1140
4620161,24,975
4620162,24,910
4620163,24,1755
4620164,24,810
4620165,24,1355
4620167,24,1370
4620168,24,1220
4620169,24,1195
4620170,24,1185
4620171,24,2390
4620172,24,1560
4620173,24,1345
4620174,24,1295
4620175,24,1370
4620176,24,1050
4620177,24,790
4620178,24,1570
4620179,24,2250
4620180,24,1810
4620181,24,2005
4620182,24,1170
4620183,24,1210
4620184,24,1640
4620185,24,2765
4620186,24,2170
4620187.01,24,1305
4620187.03,24,2465
4620187.04,24,2755
4620188.01,24,1235
4620188.02,24,1390
4620190.01,24,1625
4620190.02,24,1030
4620191,24,2815
4620192,24,1095
4620193,24,1065
4620194,24,2925
4620195.01,24,1375
4620195.02,24,2120
4620195.03,24,2315
4620196,24,2000
4620197,24,2170
4620198,24,2060
4620199,24,1185
4620200,24,2140
4620201,24,2875
4620202,24,2190
4620203,24,1595
4620204,24,1525
4620205,24,1170
4620206,24,1355
4620207,24,1835
4620208,24,1535
4620209,24,2940
4620210,24,2245
4620211,24,1340
4620212,24,1470
4620213,24,1570
4620214,24,1595
4620215,24,1230
4620216,24,1430
4620217,24,1510
4620218,24,1840
4620219,24,1400
4620220,24,2240
4620221,24,2200
4620222,24,1430
4620223.01,24,1455
4620223.02,24,1180
4620224,24,1850
4620225,24,640
4620226,24,1795
4620227,24,925
4620228,24,965
4620230,24,1110
4620231,24,980
4620232,24,1990
4620233,24,1235
4620234,24,1125
4620235,24,1110
4620236,24,1110
4620237,24,1830
4620238,24,1310
4620239,24,2235
4620240,24,1320
4620241,24,1410
4620242,24,2760
4620243,24,1830
4620244,24,1125
4620245,24,1630
4620247,24,1340
4620249,24,1915
4620250,24,1785
4620251.01,24,1595
4620251.02,24,1065
4620252,24,1880
4620253,24,1260
4620254,24,1650
4620256,24,1425
4620257,24,1600
4620258,24,1635
4620259,24,2035
4620260,24,1000
4620261,24,1005
4620262,24,1695
4620263,24,1535
4620264.01,24,2360
4620264.02,24,2800
4620265,24,2420
4620266,24,1565
4620267,24,2605
4620268.01,24,2385
4620268.02,24,1115
4620269,24,1825
4620270,24,2250
4620271,24,1785
4620272,24,1750
4620273,24,1830
4620274,24,1230
4620275,24,1935
4620276,24,2415
4620277,24,1770
4620278,24,2090
4620279,24,1955
4620280,24,2195
4620281,24,1635
4620282,24,2520
4620283.01,24,1395
4620283.02,24,1315
4620284,24,1430
4620285,24,2315
4620286,24,2030
4620287.01,24,2640
4620287.02,24,2030
4620288,24,745
4620290.01,24,1080
4620290.02,24,3005
4620290.03,24,1925
4620290.04,24,3160
4620290.05,24,1900
4620290.06,24,2595
4620290.07,24,1935
4620290.08,24,2225
4620290.09,24,2240
4620291.01,24,2010
4620291.03,24,2505
4620291.04,24,2345
4620300,24,1140
4620301,24,2805
4620302,24,1335
4620303,24,1095
4620304,24,1335
4620305,24,1935
4620306,24,1295
4620307,24,1735
4620309,24,775
4620310,24,1815
4620311,24,1855
4620312,24,1655
4620313,24,1760
4620314,24,1190
4620316,24,1130
4620317.02,24,2925
4620317.03,24,2425
4620317.04,24,3775
4620320,24,2235
4620321,24,1520
4620322.02,24,1675
4620322.03,24,1855
4620322.04,24,1330
4620323,24,1290
4620324.01,24,1990
4620324.02,24,1245
4620325.01,24,1570
4620325.02,24,2820
4620325.03,24,1405
4620325.05,24,2295
4620325.06,24,2100
4620326.01,24,1185
4620326.02,24,1610
4620326.03,24,2250
4620327,24,2200
4620328,24,640
4620329,24,1680
4620330,24,2295
4620340,24,2520
4620350,24,1200
4620351,24,2045
4620352,24,1375
4620353,24,1355
4620354,24,1540
4620355,24,640
4620356,24,960
4620360,24,975
4620361,24,675
4620362,24,1255
4620363,24,2235
4620364,24,1240
4620365,24,1435
4620366,24,1225
4620367,24,2285
4620370,24,3470
4620380,24,1720
4620381,24,2410
4620382.01,24,1380
4620382.02,24,2075
4620383.01,24,1355
4620383.02,24,3130
4620385,24,630
4620390,24,425
4620391,24,820
4620392,24,750
4620393,24,2460
4620394,24,1765
4620395.01,24,600
4620395.02,24,2950
4620395.03,24,2400
4620396,24,3040
4620397,24,2020
4620400,24,2385
4620401,24,1560
4620402,24,625
4620403,24,2440
4620404,24,2230
4620410.01,24,2145
4620410.02,24,2105
4620410.03,24,845
4620412,24,3150
4620413.01,24,1915
4620413.02,24,1630
4620415.03,24,1895
4620415.04,24,1865
4620415.05,24,3595
4620415.06,24,3145
4620416.01,24,1890
4620416.02,24,1345
4620417.01,24,1830
4620417.02,24,970
4620418,24,2695
4620419,24,1920
4620420,24,2110
4620421.01,24,2625
4620421.02,24,2800
4620430,24,3150
4620431,24,2755
4620432,24,1590
4620433,24,1905
4620450,24,3395
4620451,24,3325
4620452,24,3245
4620453.01,24,2700
4620453.02,24,2260
4620460,24,2550
4620461,24,1265
4620462.01,24,2520
4620462.02,24,3035
4620470.01,24,3735
4620470.03,24,2950
4620470.04,24,2005
4620470.05,24,2340
4620480,24,1720
4620490,24,1210
4620491,24,1200
4620500,24,480
4620511.01,24,1665
4620511.02,24,2620
4620512.02,24,2095
4620512.03,24,1205
4620512.04,24,3130
4620513.01,24,2420
4620513.02,24,1655
4620514.01,24,3420
4620514.02,24,3420
4620515.01,24,2765
4620515.02,24,2390
4620515.03,24,1800
4620515.04,24,2080
4620520.02,24,3185
4620520.03,24,1955
4620520.04,24,2140
4620521.01,24,2400
4620521.04,24,2555
4620521.05,24,2470
4620521.06,24,2640
4620521.07,24,2225
4620522.01,24,1825
4620522.02,24,1965
4620523,24,1095
4620530,24,3060
4620540,24,1670
4620550.02,24,1570
4620550.03,24,3680
4620550.04,24,2945
4620570,24,1655
4620580.01,24,2060
4620580.02,24,1860
4620580.03,24,2240
4620581.01,24,2785
4620581.02,24,1720
4620582.01,24,3055
4620582.02,24,2850
4620583,24,1610
4620584,24,2970
4620585.01,24,1130
4620585.02,24,1665
4620590.01,24,2390
4620590.02,24,1290
4620591.01,24,1315
4620591.02,24,1670
4620592,24,3005
4620593.01,24,1380
4620593.02,24,1880
4620594.01,24,1240
4620594.02,24,3360
4620600.01,24,1595
4620600.02,24,1565
4620600.03,24,2095
4620601.01,24,1260
4620601.02,24,1865
4620602.01,24,1275
4620602.02,24,1125
4620603.01,24,1460
4620603.02,24,1450
4620603.03,24,1320
4620604.01,24,1440
4620604.02,24,1765
4620604.03,24,1110
4620604.04,24,1575
4620604.05,24,1895
4620605.01,24,1345
4620605.02,24,930
4620605.03,24,2325
4620605.04,24,2045
4620605.05,24,970
4620610.01,24,1695
4620610.02,24,1890
4620610.03,24,1755
4620610.04,24,1425
4620610.05,24,1285
4620610.06,24,1175
